Lower bound: 0 ;Upper bound: 1000

====== TESTS ======
N;time(ms);Max N;
1000;7;29947;
2000;29;29947;
3000;57;29940;
4000;103;29943;
5000;161;29947;
6000;233;29950;
7000;319;29941;
8000;415;29939;
9000;525;29934;
10000;652;29941;
11000;786;29950;
12000;936;29970;
13000;1101;29945;
14000;1273;29947;
15000;1465;29946;
16000;1665;29938;
17000;1879;29946;
18000;2114;29942;
19000;2343;29942;
20000;2604;29953;
21000;2874;29953;
22000;3149;29953;
23000;3439;29952;
24000;3755;29999;
25000;4078;30067;
26000;4401;30145;
